company_name,status_label,year,current_assets,cogs,depreciation_&_amortization,ebitda,inventory,net_income,total_receivables,market_value,net_sales,total_assets,longterm_debt,ebit,gross_profit,current_liabilities,retained_earnings,total_revenue,total_liabilities,total_operating_expenses
C_24,alive,2000,16.498,15.111,0.543,1.643,9.949,0.456,5.055,47.432,24.672,21.473,4.335,1.1,9.561,3.894,7.7,24.672,8.342,23.029
C_24,alive,2001,17.469,16.559,0.603,2.732,10.948,1.04,4.263,75.46,27.424,22.219,3.347,2.129,10.865,4.553,8.74,27.424,8.048,24.692
C_24,alive,2002,11.033,16.145,0.638,1.751,6.078,1.006,3.799,55.3645,25.672,17.269,2.29,1.113,9.527,5.962,3.515,25.672,8.296,23.921
C_24,alive,2003,14.904,21.811,0.683,2.694,7.081,0.542,5.738,30.7799,31.113,18.985,2.216,2.011,9.302,7.232,4.057,31.113,9.47,28.419
C_24,alive,2004,14.306,22.0,0.654,0.725,7.425,1.541,4.607,20.7813,30.721,18.463,2.794,0.071,8.721,5.185,5.026,30.721,7.979,29.996
C_24,alive,2005,16.132,23.906,0.665,2.973,6.404,2.55,4.59,27.489,34.763,20.212,2.564,2.308,10.857,4.523,7.576,34.763,7.133,31.79
C_24,alive,2006,13.674,21.801,0.632,1.742,5.809,0.565,5.227,25.0467,31.253,17.735,2.334,1.11,9.452,3.986,8.141,31.253,6.469,29.511
C_24,alive,2009,15.874,18.955,0.49,4.895,7.743,4.261,3.421,14.7001,31.136,21.476,58.9395,4.405,12.181,13.548,3.469,31.136,13.756,26.241
C_24,alive,2010,18.259,20.179,0.502,2.373,7.363,0.625,4.653,13.3839,29.618,23.678,4.985,1.871,9.439,9.763,4.094,29.618,14.843,27.245
C_24,alive,2011,17.553,20.732,0.541,1.882,6.793,0.392,5.19,12.7426,29.607,23.035,4.278,1.341,8.875,9.307,4.486,29.607,13.62,27.725
C_24,alive,2012,15.73,18.64,0.545,2.323,8.195,2.522,5.453,15.4674,31.021,23.324,4.414,1.778,12.381,6.646,7.008,31.021,11.284,28.698
C_27,alive,2000,23.689,58.165,0.826,3.343,10.977,1.289,11.089,10.82,70.246,28.533,5.269,2.517,12.081,11.441,2.665,70.246,18.363,66.903
C_27,alive,2001,17.727,58.777,0.666,3.041,9.921,1.278,5.876,9.534,70.958,22.903,3.467,2.375,12.181,6.506,3.56,70.958,11.803,67.917
C_27,alive,2002,16.767,34.937,0.578,1.042,6.275,-1.224,6.239,3.8408,42.872,21.328,2.396,0.464,7.935,7.182,2.066,42.872,11.717,41.83
C_27,alive,2003,14.416,44.134,0.558,3.96,6.46,1.738,5.241,14.2411,55.997,19.574,0.185,3.402,11.863,6.088,4.17,55.997,7.897,52.037
C_27,alive,2004,19.033,57.524,0.634,4.102,6.103,2.106,7.974,46.235,69.999,24.109,1.054,3.468,12.475,8.484,5.478,69.999,11.023,65.897
C_27,alive,2005,19.032,66.097,0.683,3.841,5.706,2.055,8.906,30.209,79.529,23.923,0.764,3.158,13.432,7.952,6.892,79.529,9.423,75.688
C_27,alive,2006,20.604,53.229,0.666,4.492,8.086,2.486,7.712,20.0549,67.303,24.615,0.627,3.826,14.074,7.88,8.764,67.303,9.166,62.811
C_27,alive,2007,23.419,62.702,0.472,5.525,7.962,3.402,12.32,23.3019,78.399,27.308,0.494,5.053,15.697,8.319,11.409,78.399,9.593,72.874
C_27,alive,2010,30.707,69.071,0.366,3.702,11.538,2.138,11.769,22.8516,83.362,34.221,58.9395,3.336,14.291,7.98,19.395,83.362,7.98,79.66
C_27,alive,2011,31.206,75.718,0.278,2.33,14.543,1.35,9.658,23.3593,89.383,35.083,58.9395,2.052,13.665,7.966,20.133,89.383,8.03,87.053
C_27,alive,2012,30.528,87.342,0.533,3.265,8.182,1.67,12.12,23.2346,103.064,36.055,58.9395,2.732,15.722,7.861,21.191,103.064,7.931,99.799
C_27,alive,2013,31.152,84.567,0.752,3.361,12.239,1.467,12.637,28.4955,100.772,37.221,58.9395,2.609,16.205,9.019,21.916,100.772,9.861,97.411
C_27,alive,2014,38.67,94.553,0.857,3.405,7.79,2.484,10.547,58.3758,112.181,43.456,5.0,2.548,17.628,8.245,24.273,112.181,13.661,108.776
C_27,alive,2016,48.859,125.142,1.548,0.107,19.779,-3.214,21.624,41.2079,148.472,65.335,18.413,-1.441,23.33,20.269,18.249,148.472,41.729,148.365
C_27,alive,2017,61.671,158.23,2.679,6.925,36.243,2.277,17.374,51.7132,194.519,97.147,38.855,4.246,36.289,31.178,20.435,194.519,70.911,187.594
C_29,alive,2000,5.425,1.411,0.414,-1.371,1.113,-1.354,4.097,14.3693,2.829,11.434,58.9395,-1.785,1.418,2.463,-47.808,2.829,2.463,4.2
C_29,alive,2002,2.445,2.817,0.28,-1.963,1.256,-6.011,0.782,8.1677,5.368,9.862,1.205,-2.243,2.551,2.028,-56.962,5.368,3.318,7.331
C_29,alive,2003,3.137,4.401,0.412,-2.077,1.279,-2.602,1.707,6.0887,7.418,10.319,1.17,-2.489,3.017,2.611,-59.615,7.418,3.806,9.495
C_35,alive,2000,8.161,6.979,1.939,4.152,2.493,1.538,2.628,78.81,17.958,19.003,58.9395,2.213,10.979,2.802,2.122,17.958,2.802,13.806
C_35,alive,2001,9.019,8.817,2.742,5.33,2.476,1.781,2.849,58.41,21.989,21.865,58.9395,2.588,13.172,3.37,3.903,21.989,3.491,16.659
C_35,alive,2002,9.812,8.342,3.673,5.408,2.981,1.13,3.832,28.7775,21.924,21.369,58.9395,1.735,13.582,1.303,5.033,21.924,1.877,16.516
C_38,failed,2001,16.472,82.203,1.631,0.455,2.982,3.714,8.398,24.035,95.844,36.709,6.812,-1.176,13.641,20.912,6.308,95.844,28.727,95.389
C_38,failed,2004,3.833,2.987,0.809,1.002,23.397,0.725,1.463,17.9561,5.255,18.1,2.031,0.193,2.268,3.903,2.202,5.255,12.861,4.253
C_47,alive,2001,1.339,2.307,1.024,-0.409,23.397,-4.577,1.034,11.7039,4.796,12.465,6.833,-1.433,2.489,2.958,-5.204,4.796,11.215,5.205
C_47,alive,2002,5.577,12.582,2.328,1.616,23.397,-3.969,4.589,10.0128,17.99,34.778,7.331,-0.712,5.408,18.593,-9.173,17.99,26.864,16.374
C_47,alive,2003,11.189,21.449,2.58,5.106,23.397,2.927,9.003,10.2092,32.724,53.662,28.241,2.526,11.275,10.416,-6.246,32.724,39.472,27.618
C_47,alive,2004,24.378,31.816,3.484,7.711,2.373,0.888,13.166,66.6988,47.726,80.192,24.932,4.227,15.91,14.912,-5.358,47.726,40.66,40.015
C_47,alive,2005,35.652,70.428,6.122,19.34,5.945,7.175,26.964,210.2442,105.344,137.355,54.937,13.218,34.916,20.62,1.817,105.344,76.48,86.004
C_49,alive,1999,6.968,8.867,1.382,3.098,0.374,2.046,4.69,15.7216,16.788,28.68,0.288,1.716,7.921,2.879,6.951,16.788,3.317,13.69
C_49,alive,2000,9.953,10.195,1.559,2.989,0.333,1.499,4.99,14.7252,18.738,31.029,0.551,1.43,8.543,2.857,8.45,18.738,3.508,15.749
C_49,alive,2001,11.02,11.788,1.54,2.923,0.416,-1.938,4.669,16.4882,20.398,29.126,0.673,1.383,8.61,2.865,6.182,20.398,3.594,17.475
C_51,alive,2011,41.655,151.947,0.134,10.37,29.507,5.734,3.124,5.942,167.382,47.899,58.9395,10.236,15.435,29.172,-43.548,167.382,30.387,157.012
C_56,alive,2011,65.453,156.291,3.7,2.569,39.46,-1.654,20.304,16.5456,208.733,120.4,4.299,-1.131,52.442,33.937,37.76,208.733,76.493,206.164
C_56,alive,2012,64.108,158.347,3.885,4.069,35.539,-0.301,20.98,15.3,213.659,131.867,2.88,0.184,55.312,31.851,37.031,213.659,88.569,209.59
C_56,alive,2013,69.169,151.48,3.328,7.714,39.212,3.356,20.037,13.184,209.293,119.875,7.577,4.386,57.813,31.784,31.017,209.293,83.311,201.579
C_56,alive,2014,69.367,147.826,3.335,9.39,39.088,2.974,20.924,13.6,205.585,122.04,5.99,6.055,57.759,33.904,27.716,205.585,88.777,196.195
C_56,alive,2015,62.739,142.188,3.326,4.035,36.536,-0.721,18.71,12.6736,194.873,114.836,4.421,0.709,52.685,33.418,24.754,194.873,84.535,190.838
C_56,alive,2017,67.253,141.664,3.121,9.119,35.117,4.963,30.134,16.32,200.53,118.611,0.249,5.998,58.866,36.397,31.412,200.53,81.652,191.411
C_56,alive,2018,68.733,143.199,3.437,5.679,31.764,8.299,29.997,16.32,202.594,127.595,0.583,2.242,59.395,35.947,37.976,202.594,84.076,196.915
C_60,alive,1999,14.414,15.176,1.433,4.414,23.397,4.409,8.436,23.1255,34.352,58.459,3.569,2.981,19.176,16.723,-33.069,34.352,36.877,29.938
C_60,alive,2000,16.017,20.393,1.439,4.9,23.397,4.697,10.579,29.1763,41.958,65.75,10.775,3.461,21.565,13.738,-28.764,41.958,39.766,37.058
C_60,alive,2001,19.771,28.472,5.03,5.264,23.397,0.802,13.414,24.0905,56.016,86.824,4.436,0.234,27.544,30.339,-28.36,56.016,60.408,50.752
C_64,alive,1999,12.68,24.469,0.63,4.829,4.973,2.624,3.814,12.8081,34.95,15.179,1.709,4.199,10.481,2.707,9.438,34.95,5.072,30.121
C_64,alive,2001,17.132,27.105,0.956,5.834,6.814,3.06,5.043,34.731,39.627,29.735,9.948,4.878,12.522,4.823,15.369,39.627,15.181,33.793
C_64,alive,2002,13.107,27.056,0.974,5.896,6.021,3.023,4.167,20.252,40.671,25.035,8.304,4.922,13.615,4.738,12.278,40.671,13.16,34.775
C_64,alive,2003,14.588,26.469,0.893,4.7,5.459,2.147,4.683,17.1194,39.256,25.873,6.664,3.807,12.787,4.735,14.45,39.256,11.711,34.556
C_64,alive,2004,18.083,33.96,0.707,6.6,6.463,2.703,4.403,22.625,49.023,28.862,58.9395,5.893,15.063,11.368,17.075,49.023,12.075,42.423
C_64,alive,2006,10.315,16.185,0.396,1.738,3.341,0.639,3.481,6.7425,25.065,14.47,2.026,1.342,8.88,2.407,9.481,25.065,5.215,23.327
C_64,alive,2007,7.446,14.918,0.386,-1.992,3.06,-1.904,1.613,5.8125,20.243,12.416,2.047,-2.378,5.325,2.128,7.943,20.243,4.658,22.235
C_65,alive,2002,7.158,4.88,2.094,2.177,0.373,0.156,3.061,18.2704,14.792,16.981,1.236,0.083,9.912,2.352,3.591,14.792,4.241,12.615
C_65,alive,2003,6.91,5.189,2.534,3.251,0.452,0.571,3.318,28.8336,16.568,17.937,0.89,0.717,11.379,2.15,4.162,16.568,4.03,13.317
C_65,alive,2004,8.178,6.702,3.071,3.581,0.697,0.411,3.412,41.9375,19.128,19.639,0.521,0.51,12.426,2.336,4.573,19.128,4.361,15.547
C_65,alive,2005,8.344,7.81,3.062,4.44,0.332,0.932,4.379,54.0702,22.448,26.595,2.429,1.378,14.638,4.496,5.505,22.448,8.211,18.008
C_65,alive,2007,8.672,13.056,4.302,6.464,0.553,1.514,5.682,65.6532,35.645,34.953,4.726,2.162,22.589,5.071,8.282,35.645,11.282,29.181
C_65,alive,2008,10.054,14.281,4.376,7.655,0.548,1.44,6.022,45.336,38.587,34.366,2.815,3.279,24.306,4.168,9.722,38.587,8.815,30.932
C_65,alive,2009,13.78,14.368,4.103,8.725,1.106,2.89,6.278,63.111,39.457,35.829,1.195,4.622,25.089,4.834,11.661,39.457,7.912,30.732
C_65,alive,2010,13.788,14.982,3.79,8.938,1.005,2.386,7.498,58.7598,40.771,37.517,2.15,5.148,25.789,3.744,13.09,40.771,7.861,31.833
C_66,alive,1999,61.192,38.15,7.684,24.66,9.577,11.439,9.306,61.677,72.834,132.882,67.0,16.976,34.684,8.104,-19.71,72.834,77.109,48.174
C_66,alive,2000,52.252,35.348,8.931,21.785,10.875,13.731,9.938,43.8013,67.369,117.59,44.175,12.854,32.021,8.494,-5.979,67.369,54.412,45.584
C_66,alive,2001,72.42,31.883,6.303,21.156,13.908,7.726,5.828,49.6787,63.089,123.042,44.175,14.853,31.206,6.371,1.747,63.089,52.518,41.933
C_66,alive,2002,88.258,37.145,6.384,22.667,13.989,8.642,7.167,61.5865,73.588,131.971,40.6,16.283,36.443,6.079,8.559,73.588,52.765,50.921
C_66,alive,2003,50.55,31.555,5.794,22.831,13.613,9.36,9.272,61.4206,68.866,101.685,58.9395,17.037,37.311,7.951,18.181,68.866,13.282,46.035
C_66,alive,2004,54.821,34.509,5.737,5.487,13.827,-0.397,16.231,54.4639,59.489,100.628,58.9395,-0.25,24.98,10.13,14.702,59.489,15.828,54.002
C_67,alive,1999,6.914,18.319,0.733,0.432,0.348,-0.055,1.961,9.8346,18.751,29.835,3.298,-0.301,0.432,5.878,13.085,18.751,10.875,18.319
C_67,alive,2004,15.769,24.792,0.304,5.592,23.397,2.152,2.687,27.2634,32.021,30.443,58.9395,5.288,7.229,5.096,16.029,32.021,6.229,26.429
C_67,alive,2005,21.663,26.161,0.364,5.075,23.397,5.46,3.833,36.7488,33.973,33.505,58.9395,4.711,7.812,5.783,19.225,33.973,5.783,28.898
C_69,alive,1999,30.114,42.06,1.434,2.232,19.563,1.459,6.276,35.9745,60.674,38.205,58.9395,0.798,18.614,15.208,0.8,60.674,16.83,58.442
C_69,alive,2000,37.264,48.721,2.171,3.642,22.906,0.66,9.726,31.231,67.111,44.31,58.9395,1.471,18.39,20.513,1.46,67.111,21.676,63.469
C_69,alive,2003,53.181,54.796,1.612,4.363,15.858,1.911,14.771,122.364,76.342,55.803,58.9395,2.751,21.546,14.657,-9.078,76.342,17.37,71.979
C_69,alive,2004,94.922,56.592,1.234,11.708,25.632,11.185,30.97,372.9261,88.314,98.287,58.9395,10.474,31.722,29.99,2.081,88.314,36.717,76.606
C_70,alive,2001,14.788,1.354,2.931,7.159,23.397,1.068,2.369,10.6455,11.758,42.385,21.615,4.228,10.404,5.437,3.805,11.758,27.435,4.599
C_70,alive,2002,13.421,1.927,3.472,8.126,23.397,1.102,2.571,15.5481,13.366,44.83,22.006,4.654,11.439,6.246,2.055,13.366,28.842,5.24
C_70,alive,2003,13.302,3.175,4.225,9.806,23.397,1.382,2.467,23.508,16.178,46.304,20.114,5.581,13.003,8.034,2.67,16.178,29.244,6.372
C_70,alive,2004,12.672,3.085,4.802,10.341,23.397,1.985,2.95,28.4172,16.389,47.106,18.924,5.539,13.304,7.955,3.898,16.389,27.245,6.048
C_70,alive,2005,10.709,3.677,5.395,10.941,23.397,1.767,4.019,31.5193,18.231,48.668,18.705,5.546,14.554,8.286,4.74,18.231,27.819,7.29
C_70,alive,2006,11.125,4.5,5.865,11.89,23.397,1.656,4.35,33.403,20.385,50.905,15.189,6.025,15.885,11.666,5.441,20.385,28.851,8.495
C_70,alive,2007,14.849,7.361,5.993,10.615,23.397,0.951,5.136,10.3536,22.622,63.044,24.004,4.622,15.261,14.102,5.916,22.622,40.351,12.007
C_70,alive,2008,15.462,4.288,6.589,10.488,23.397,0.477,4.45,4.9476,19.099,62.196,21.053,3.899,14.811,15.667,6.393,19.099,39.258,8.611
C_70,alive,2009,14.474,3.403,6.378,9.437,23.397,-0.188,3.877,13.5553,16.768,60.621,26.969,3.059,13.365,7.977,6.205,16.768,37.866,7.331
C_70,alive,2010,15.075,3.578,5.888,8.857,23.397,0.057,3.801,12.9635,16.675,65.34,31.67,2.969,13.097,7.444,6.262,16.675,42.296,7.818
